경찰서,지구대,파출소,치안센터,기간코드
중부,3,4,4,18
종로,1,12,1,18
남대문,0,7,0,18
서대문,2,6,3,18
혜화,0,8,1,18
용산,2,6,4,18
성북,3,3,8,18
동대문,3,8,9,18
마포,5,3,9,18
영등포,7,3,5,18
성동,3,6,6,18
동작,6,1,10,18
광진,2,8,2,18
서부,2,2,4,18
강북,2,7,5,18
금천,2,3,7,18
중랑,4,4,9,18
강남,1,7,3,18
관악,5,4,10,18
강서,7,3,2,18
강동,4,4,8,18
종암,2,2,6,18
구로,5,3,8,18
서초,1,6,5,18
양천,5,3,7,18
송파,5,5,10,18
노원,6,2,10,18
방배,1,3,3,18
은평,2,3,7,18
도봉,1,7,1,18
수서,4,2,6,18
중부,3,4,4,19
종로,1,12,1,19
남대문,0,7,0,19
서대문,2,6,3,19
혜화,0,8,1,19
용산,3,4,5,19
성북,3,3,8,19
동대문,3,8,9,19
마포,5,3,7,19
영등포,7,3,5,19
성동,3,6,6,19
동작,6,1,10,19
광진,2,8,2,19
서부,2,2,4,19
강북,2,7,5,19
금천,2,3,7,19
중랑,4,4,9,19
강남,1,7,3,19
관악,6,3,10,19
강서,7,3,2,19
강동,4,5,7,19
종암,2,2,6,19
구로,5,3,8,19
서초,1,6,5,19
양천,5,3,8,19
송파,5,5,10,19
노원,6,2,9,19
방배,1,3,3,19
은평,2,3,7,19
도봉,1,7,1,19
수서,4,2,4,19
중부,3,4,3,20
종로,1,12,1,20
남대문,0,7,0,20
서대문,2,6,2,20
혜화,0,8,1,20
용산,3,4,5,20
성북,3,3,8,20
동대문,3,8,9,20
마포,5,3,7,20
영등포,7,3,5,20
성동,3,6,6,20
동작,6,1,10,20
광진,2,8,2,20
서부,2,2,4,20
강북,2,7,5,20
금천,2,3,7,20
중랑,4,4,9,20
강남,1,7,3,20
관악,6,3,10,20
강서,7,3,2,20
강동,4,5,7,20
종암,2,2,6,20
구로,5,3,8,20
서초,1,6,5,20
양천,5,3,7,20
송파,5,6,10,20
노원,6,2,8,20
방배,1,3,3,20
은평,2,3,7,20
도봉,1,7,1,20
수서,4,2,4,20
